Total,Clearance,Circulation,PairwiseDistance,PairwiseAngle,ConversationDistance,ConversationAngle,Balance,Alignment,WallAlignment,Symmetry,Emphasis,AcceptanceProbability,Iteration
-69.450370,0.000000,0.000000,-0.637269,-1.636929,-3.671251,-3.015357,0.861422,-9.955936,-4.988869,8.672278,0.183557,0.743994,52.000000
-69.119090,0.000000,0.000000,-0.657215,-1.689934,-3.671251,-3.387767,0.858846,-8.897665,-4.723884,8.388311,0.033900,0.718007,53.000000
-69.199780,0.000000,0.000000,-0.536480,-1.720065,-3.569995,-3.403178,0.720149,-8.897665,-4.723884,8.393752,-0.247546,1.000000,54.000000
-69.553300,0.000000,0.000000,-0.535799,-1.716728,-3.569995,-3.354428,0.722444,-9.128241,-4.781578,8.427057,-0.227687,1.000000,56.000000
-69.441890,0.000000,0.000000,-0.536032,-1.717914,-3.569995,-3.370973,0.721628,-9.052597,-4.762650,8.415688,-0.234448,0.894570,58.000000
-69.339130,0.000000,0.000000,-0.540748,-1.710547,-3.548785,-3.405257,0.740388,-9.052597,-4.762650,8.557992,-0.208673,0.902343,59.000000
-68.969840,0.000000,0.000000,-0.545422,-1.679899,-3.459669,-3.512880,0.790808,-9.052597,-4.762650,8.949947,-0.161594,0.691228,62.000000
-69.429350,0.000000,0.000000,-0.543622,-1.667388,-3.459669,-3.426653,0.789923,-9.407262,-4.851410,8.981081,-0.125857,1.000000,63.000000
-69.664850,0.000000,0.000000,-0.551833,-1.688289,-3.540431,-3.349995,0.775763,-9.407262,-4.851410,8.744429,-0.119444,1.000000,64.000000
-69.849050,0.000000,0.000000,-0.549392,-1.673281,-3.540431,-3.238667,0.779060,-9.748212,-4.936783,8.826767,-0.073010,1.000000,65.000000
-69.951440,0.000000,0.000000,-0.536966,-1.685570,-3.535287,-3.228164,0.752009,-9.748212,-4.936783,8.771627,-0.126677,1.000000,66.000000
-69.898610,0.000000,0.000000,-0.536084,-1.678880,-3.535287,-3.179306,0.754939,-9.856099,-4.963819,8.808218,-0.105892,0.948545,67.000000
-69.575790,0.000000,0.000000,-0.534464,-1.665682,-3.535287,-3.091583,0.761294,-9.975330,-4.993746,8.861100,-0.068159,0.724102,68.000000
-69.374410,0.000000,0.000000,-0.555796,-1.635219,-3.536797,-3.114556,0.805686,-9.975330,-4.993746,8.936016,0.025945,0.817603,71.000000
-69.669080,0.000000,0.000000,-0.561725,-1.671440,-3.536797,-3.334992,0.799793,-9.525570,-4.881027,8.851937,-0.066426,1.000000,73.000000
-69.247080,0.000000,0.000000,-0.548623,-1.650380,-3.395567,-3.410028,0.808507,-9.525570,-4.881027,9.032474,-0.084233,0.655731,74.000000
-69.034240,0.000000,0.000000,-0.524616,-1.649786,-3.303167,-3.451417,0.782502,-9.525570,-4.881027,9.185444,-0.157612,0.808288,75.000000
-69.524800,0.000000,0.000000,-0.515804,-1.671839,-3.409412,-3.415821,0.739583,-9.525570,-4.881027,9.127189,-0.221494,1.000000,79.000000
-70.161310,0.000000,0.000000,-0.518432,-1.723203,-3.478302,-3.374856,0.734174,-9.525570,-4.881027,8.858231,-0.289088,1.000000,80.000000
-70.555150,0.000000,0.000000,-0.518717,-1.735101,-3.478302,-3.413152,0.724877,-9.546676,-4.879339,8.830913,-0.303280,1.000000,81.000000
-70.771600,0.000000,0.000000,-0.524061,-1.771921,-3.530179,-3.330212,0.738662,-9.546676,-4.879339,8.524870,-0.329710,1.000000,83.000000
-70.698840,0.000000,0.000000,-0.523993,-1.769681,-3.530179,-3.322810,0.740478,-9.543576,-4.879936,8.530133,-0.326949,0.929830,85.000000
-69.992650,0.000000,0.000000,-0.524215,-1.743564,-3.530179,-3.238326,0.734550,-9.551841,-4.877499,8.590985,-0.295192,0.493520,87.000000
-70.866370,0.000000,0.000000,-0.513569,-1.791641,-3.430286,-3.407159,0.668894,-9.551841,-4.877499,8.841606,-0.488531,1.000000,88.000000
-71.218760,0.000000,0.000000,-0.521879,-1.846212,-3.534929,-3.256353,0.710884,-9.551841,-4.877499,8.285480,-0.544567,1.000000,89.000000
-71.206060,0.000000,0.000000,-0.521893,-1.845739,-3.534929,-3.254729,0.710418,-9.552216,-4.877276,8.286566,-0.543955,0.987385,90.000000
-72.164330,0.000000,0.000000,-0.522033,-1.926098,-3.597293,-3.213931,0.722753,-9.552216,-4.877276,7.940233,-0.767642,1.000000,91.000000
-72.505140,0.000000,0.000000,-0.513617,-1.955135,-3.428575,-3.375318,0.687546,-9.552216,-4.877276,8.216715,-0.910327,1.000000,92.000000
-73.867840,0.000000,0.000000,-0.514128,-1.998543,-3.428575,-3.551779,0.662671,-9.536810,-4.857427,8.135877,-0.966189,1.000000,93.000000
-72.390700,0.023137,0.000000,-0.520260,-2.033085,-3.207960,-3.371662,0.720357,-9.536810,-4.857427,7.689958,-1.046668,0.228289,94.000000
-72.346850,0.025690,0.000000,-0.520304,-2.034057,-3.202700,-3.368396,0.721335,-9.536810,-4.857427,7.684377,-1.049713,0.957094,95.000000
-72.423110,0.026754,0.000000,-0.520429,-2.037210,-3.202700,-3.384136,0.716964,-9.525554,-4.851362,7.679365,-1.053633,1.000000,96.000000
-72.731690,0.021349,0.000000,-0.514254,-2.045947,-3.091116,-3.534044,0.690239,-9.525554,-4.851362,7.979899,-1.105785,1.000000,97.000000
-72.896060,0.037518,0.000000,-0.515332,-2.077695,-3.091116,-3.703764,0.640522,-9.211146,-4.736474,7.937381,-1.144106,1.000000,98.000000
-72.246100,0.013520,0.000000,-0.513711,-2.028661,-3.091116,-3.451663,0.715938,-9.553534,-4.876232,8.003957,-1.085502,0.522065,99.000000
